City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Jussara,BR,2022-01-27 23:52:12,-23.6214,-52.4694,73.36,92,100,4.52
235,Kavieng,PG,2022-01-27 23:52:12,-2.5744,150.7967,85.17,65,81,5.59
236,Arman,RU,2022-01-27 23:52:13,59.7,150.1667,2.17,81,100,14.45
237,Upernavik,GL,2022-01-27 23:52:13,72.7868,-56.1549,0.81,95,67,25.21
238,Canarana,BR,2022-01-27 23:52:13,-11.6847,-41.7689,67.26,90,99,5.75
239,Hami,CN,2022-01-27 23:52:14,42.8,93.45,22.06,45,2,2.17
240,Phalaborwa,ZA,2022-01-27 23:47:17,-23.943,31.1411,74.48,87,91,3.83
241,Saint-Philippe,RE,2022-01-27 23:52:14,-21.3585,55.7679,72.99,83,73,8.61
242,Khon Buri,TH,2022-01-27 23:52:14,14.5254,102.2459,77.54,58,11,0.94
243,Zhigalovo,RU,2022-01-27 23:52:15,54.8097,105.1578,-22.58,100,95,0.72
244,Bang Saphan,TH,2022-01-27 23:52:15,11.2126,99.5117,73.35,91,45,2.93
245,Sao Jose Da Coroa Grande,BR,2022-01-27 23:52:15,-8.8978,-35.1478,78.55,81,86,5.7
246,Kenora,CA,2022-01-27 23:47:28,49.8167,-94.4337,0.79,60,20,6.91
247,Mankapur,IN,2022-01-27 23:52:16,27.0333,82.2333,47.41,87,0,7.4
248,Belaya Gora,RU,2022-01-27 23:52:16,68.5333,146.4167,-41.57,100,45,2.42
249,Tongchuan,CN,2022-01-27 23:52:16,35.0806,109.0897,26.31,82,99,4.45
250,Kosh-Agach,RU,2022-01-27 23:52:17,50.0,88.6667,-20.94,99,100,2.57
251,Bihoro,JP,2022-01-27 23:52:17,43.8228,144.1044,5.02,78,75,6.91
252,Aklavik,CA,2022-01-27 23:52:17,68.2191,-135.0107,-9.4,64,75,5.75
253,Coruripe,BR,2022-01-27 23:52:18,-10.1256,-36.1756,78.15,82,51,7.56
254,Sistranda,NO,2022-01-27 23:52:18,63.7256,8.834,37.36,51,100,31.74
255,Naze,JP,2022-01-27 23:52:18,28.3667,129.4833,59.92,80,92,9.28
256,Pimentel,PE,2022-01-27 23:52:18,-6.8367,-79.9342,73.69,73,100,18.41
257,Dawlatabad,AF,2022-01-27 23:52:19,36.4141,64.9053,46.87,50,97,7.74
258,Correntina,BR,2022-01-27 23:52:19,-13.3433,-44.6367,66.7,86,94,1.61
259,Wuzhou,CN,2022-01-27 23:52:20,23.4833,111.3167,54.39,78,41,3.6
260,Vanimo,PG,2022-01-27 23:52:20,-2.6741,141.3028,83.66,74,96,1.28
261,Cayenne,GF,2022-01-27 23:52:20,4.9333,-52.3333,73.44,94,75,0.0
262,Alofi,NU,2022-01-27 23:52:21,-19.0595,-169.9187,85.89,70,75,2.3
263,Ola,RU,2022-01-27 23:52:21,59.5833,151.2833,2.95,80,100,13.6
264,Beringovskiy,RU,2022-01-27 23:52:21,63.05,179.3167,5.74,95,100,3.53
265,Lagunillas,VE,2022-01-27 23:52:21,10.1301,-71.2595,81.39,63,9,9.48
266,Rafaela,AR,2022-01-27 23:52:22,-31.2503,-61.4867,72.05,57,98,1.99
267,Okha,RU,2022-01-27 23:53:22,53.5739,142.9478,-11.51,97,90,13.04
268,Kalur Kot,PK,2022-01-27 23:53:23,32.1564,71.2594,50.92,41,0,2.77
269,Labuan,MY,2022-01-27 23:53:23,5.2767,115.2417,75.56,94,20,0.0
270,Chatrapur,IN,2022-01-27 23:53:23,19.35,84.9833,62.01,53,10,7.29
271,Yatou,CN,2022-01-27 23:53:23,37.15,122.3833,29.44,51,80,14.83
272,Port Augusta,AU,2022-01-27 23:53:24,-32.5,137.7667,79.7,60,56,19.26
273,Dzaoudzi,YT,2022-01-27 23:53:24,-12.7887,45.2699,78.69,78,0,2.3
274,Encruzilhada Do Sul,BR,2022-01-27 23:48:39,-30.5439,-52.5219,63.36,68,47,8.95
275,Kirkwood,US,2022-01-27 23:53:24,38.5834,-90.4068,38.43,75,99,1.01
276,Aktas,KZ,2022-01-27 23:53:25,49.7789,72.9608,-2.45,94,15,4.68
277,Kavaratti,IN,2022-01-27 23:53:25,10.5669,72.642,78.87,72,57,10.6
278,Hobyo,SO,2022-01-27 23:53:25,5.3505,48.5268,75.97,71,100,19.37
279,Nadym,RU,2022-01-27 23:53:26,65.5333,72.5167,7.68,95,99,11.54
280,Maragogi,BR,2022-01-27 23:53:26,-9.0122,-35.2225,78.48,81,89,5.68
281,Abbeville,FR,2022-01-27 23:53:26,50.1,1.8333,43.29,92,44,4.14
282,Chapais,CA,2022-01-27 23:53:27,49.7834,-74.8492,6.58,95,100,10.54
283,Suhbaatar,MN,2022-01-27 23:53:27,50.2314,106.2078,-21.28,100,56,0.63
284,Praia Da Vitoria,PT,2022-01-27 23:53:27,38.7333,-27.0667,57.45,94,75,16.6
285,Olafsvik,IS,2022-01-27 23:53:28,64.8945,-23.7142,40.44,96,100,28.27
286,Oranjestad,AW,2022-01-27 23:53:28,12.524,-70.027,78.73,77,0,18.52
287,Brazzaville,CG,2022-01-27 23:53:28,-4.2658,15.2832,77.36,83,39,5.75
288,Adrar,MR,2022-01-27 23:53:29,20.5022,-10.0711,68.04,11,97,4.43
289,Zapolyarnyy,RU,2022-01-27 23:53:29,69.4154,30.8136,15.08,96,100,4.38
290,Berlevag,NO,2022-01-27 23:53:29,70.8578,29.0864,26.83,88,100,7.29
291,Oranjemund,NA,2022-01-27 23:53:29,-28.55,16.4333,64.69,87,53,16.35
292,Lewiston,US,2022-01-27 23:53:30,44.1003,-70.2148,26.31,65,100,4.61
